yas,aylik_gelir,abonelik_suresi_ay,destek_talebi_sayisi,sehir,uyelik_tipi,aylik_ucret,son_giris_gun_once,otomatik_odeme,churn
69,87500,61,2,Antalya,Standard,449,10,Hayır,0
55,71000,54,1,Ankara,Basic,249,5,Hayır,0
61,81500,51,1,İstanbul,Standard,449,10,Hayır,0
40,107500,62,1,Antalya,Basic,249,4,Evet,0
33,21000,36,4,Bursa,Premium,749,12,Evet,1
28,44500,17,2,İstanbul,Basic,349,3,Hayır,1
39,67000,34,3,İzmir,Basic,249,7,Evet,1
56,59500,40,0,Bursa,Premium,749,15,Hayır,0
46,90500,51,3,İzmir,Standard,449,2,Evet,0
33,69500,7,1,İzmir,Standard,449,12,Evet,1
47,39000,13,0,Antalya,Standard,449,,Evet,0
28,119000,37,0,Antalya,Premium,749,16,Hayır,1
52,109500,30,2,İzmir,Premium,799,16,Evet,1
50,108500,42,0,Ankara,Premium,749,7,Hayır,0
63,28500,68,2,İzmir,Basic,249,4,Evet,0
64,51500,43,1,Antalya,Standard,449,6,Hayır,1
35,78500,15,0,Edirne,Basic,199,16,Evet,0
37,114000,4,1,Ankara,Basic,249,3,Evet,1
69,21000,47,0,İzmir,Premium,749,21,Evet,1
68,66500,24,1,Antalya,Basic,249,15,Evet,0
69,83000,72,0,İstanbul,Premium,749,13,Evet,1
42,35000,72,0,Ankara,Basic,299,6,Hayır,0
50,109500,60,2,Ankara,Basic,249,7,Hayır,0
39,30000,65,0,İstanbul,Basic,299,4,Hayır,0
69,76500,26,0,Ankara,Basic,249,4,Hayır,1
38,60500,28,0,Ankara,Standard,449,4,Evet,0
27,37500,10,3,İzmir,Basic,199,2,Evet,1
37,117500,4,1,Edirne,Basic,199,14,Evet,1
69,28000,58,1,İzmir,Premium,749,3,Hayır,1
33,34500,6,0,Edirne,Premium,799,1,Evet,0
25,37500,69,0,İstanbul,Basic,349,6,Evet,0
20,69000,68,2,İstanbul,Basic,249,29,Evet,1
21,28500,2,1,Edirne,Standard,549,1,Hayır,1
46,70000,38,4,Bursa,Premium,749,3,Evet,0
36,119500,56,2,Ankara,Basic,199,4,Evet,0
31,26000,20,3,Ankara,Basic,249,4,Evet,1
28,116000,57,3,İstanbul,Premium,699,13,Evet,0
47,35000,47,1,İstanbul,Basic,249,24,Evet,1
30,92500,22,1,Bursa,Standard,449,5,Evet,0
26,99000,13,1,İzmir,Premium,799,12,Evet,0
22,90500,3,0,Ankara,Standard,449,9,Evet,0
65,66500,46,0,Antalya,Standard,449,1,Evet,0
50,95000,16,1,İstanbul,Premium,799,8,Evet,0
67,85000,58,0,İstanbul,Basic,299,23,Evet,0
55,87500,60,2,İstanbul,Standard,499,1,Evet,0
20,36500,20,2,İstanbul,Standard,549,1,Evet,1
41,100500,57,1,Ankara,Premium,749,8,Evet,0
36,42000,54,3,İzmir,Standard,449,22,Evet,1
47,37500,11,2,İzmir,Basic,349,2,Hayır,1
60,42000,38,0,Antalya,Premium,699,16,Evet,0
41,34500,36,0,Ankara,Standard,549,12,Hayır,1
64,101500,22,0,İstanbul,Basic,249,,Hayır,1
19,68000,5,1,Bursa,Basic,249,1,Evet,1
27,113500,1,3,Antalya,Basic,249,0,Hayır,1
60,49500,48,0,Bursa,Premium,749,5,Evet,0
34,74500,48,1,Edirne,Basic,349,4,Evet,0
60,76000,21,4,Ankara,Standard,399,1,Hayır,1
27,71000,48,0,İstanbul,Basic,349,1,Evet,0
45,37500,23,0,Bursa,Basic,299,3,Evet,0
49,94000,32,5,İstanbul,Basic,249,0,Hayır,1
67,83000,30,0,Antalya,Basic,249,1,Evet,0
41,,16,2,Edirne,Basic,249,3,Evet,0
22,25500,40,0,Bursa,Basic,249,7,Evet,0
46,61500,49,0,İstanbul,Basic,249,19,Hayır,0
23,80500,65,1,İzmir,Premium,749,18,Evet,1
60,41000,38,4,Edirne,Premium,799,16,Hayır,1
60,76500,7,4,Bursa,Premium,849,0,Hayır,1
18,63000,18,1,İstanbul,Premium,799,1,Evet,0
57,106500,25,3,,Standard,399,22,Evet,1
26,31000,41,2,Edirne,Premium,749,0,Evet,0
24,82500,59,0,Bursa,Basic,299,7,Evet,0
57,47500,21,0,Bursa,Basic,249,6,Hayır,1
51,96500,15,0,Ankara,Basic,349,2,Evet,1
33,25000,14,0,Edirne,Standard,449,13,Hayır,1
32,55500,37,1,Ankara,Standard,549,2,Evet,0
49,119000,71,3,Ankara,Standard,399,11,Evet,0
47,88500,58,0,İstanbul,Standard,449,19,Hayır,1
62,70000,19,1,İstanbul,Basic,249,8,Evet,1
35,41000,57,2,Edirne,Standard,499,10,Evet,0
18,28500,71,0,Bursa,Standard,449,4,Hayır,1
60,99500,43,1,İzmir,Standard,549,17,Hayır,0
33,115000,47,2,İstanbul,Premium,849,12,Evet,0
38,89000,69,2,Ankara,Premium,699,31,Hayır,1
58,118000,36,0,Bursa,Premium,849,6,Hayır,0
20,109000,67,1,Bursa,Basic,249,1,Hayır,0
68,55000,68,2,Edirne,Standard,449,1,Evet,0
66,60000,72,0,,Premium,849,5,Evet,0
34,67500,64,0,İstanbul,Standard,449,2,Evet,0
41,85500,43,0,İzmir,Premium,699,2,Hayır,0
23,84000,50,1,İstanbul,Standard,449,1,Hayır,0
34,93500,27,1,İzmir,Standard,449,4,Evet,0
57,105500,64,1,İzmir,Basic,199,5,Evet,0
47,72500,42,0,Ankara,Standard,499,4,Evet,0
25,55500,9,3,İstanbul,Standard,549,9,Evet,1
37,87500,2,0,Ankara,Basic,249,3,Hayır,1
56,91000,21,2,Bursa,Standard,449,0,Evet,0
34,119000,5,2,İstanbul,Premium,849,3,Evet,1
43,59500,59,1,Antalya,Basic,249,1,Evet,0
